yield_rate,volatility,risk_score
0.03812452358308555,0.26653756297585307,1
0.0889938080505212,0.48323487684950694,1
0.019074294522507577,0.18313979732459962,1
0.08273354795158767,0.41745996845880046,1
0.1528262385172246,0.16426567583719448,0
0.012053736166885353,0.050793559470602795,1
0.19247456783163736,0.23135095544253637,0
0.13048158371198731,0.1412856726460802,0
0.14095051612714027,0.11366925319655492,0
0.13200071829119078,0.3917785523571303,1
0.16394688558589446,0.28673788860634325,0
0.03042361680608225,0.2122027137252293,1
0.020728734092515296,0.10793831256349146,1
0.10439008301157292,0.22807659288925253,0
0.13530616128526013,0.19016639473979036,0
0.053071389843881746,0.49781437005187473,1
0.10506702143784558,0.3628660218331768,1
0.09512447232074689,0.19090383064191896,0
0.11257151055100068,0.05549655698896349,0
0.17366269658443623,0.14408216319803901,0
0.08684772285629787,0.369204806361775,1
0.08931949040456341,0.3389802888855241,1
0.10899943030400719,0.12025500741709066,0
0.05906940013612606,0.49703550016148623,1
0.08607534006920055,0.20839854193868018,0
0.062231697765287905,0.22372466059966084,0
0.02024380222548008,0.32547426174513244,1
0.14275717462108678,0.06688902788050224,0
0.13370661545064672,0.37922699826849376,1
0.02886631488953708,0.23176420987444868,1
0.15845563640161378,0.11906136208144798,0
0.05725069913265503,0.20822777824890848,0
0.14834561485130668,0.36920310380430776,1
0.1485399495434209,0.174187408656904,0
0.1661275513180282,0.2761434569717678,0
0.13630750378842094,0.3436020755267088,1
0.08855345149822078,0.196394255765808,0
0.07722463753505243,0.46953304056737266,1
0.02005108870693243,0.09859155886214395,1
0.12769490812304804,0.2488004283967813,0
0.02855204239027101,0.2299679691690968,1
0.17987529623542817,0.07287708822554043,0
0.16656360071584014,0.3887525917586256,1
0.117035658092728,0.13894175688839874,0
0.09157466881171439,0.3514353790106734,1
0.13113867954040187,0.11151887357393178,0
0.06310531532233728,0.31889510034044594,1
0.15307511446134242,0.1013479877623113,0
0.03801261866913121,0.17830302607168497,1
0.14288350394716776,0.34548834536189643,1
0.17166277363799154,0.1438751311927468,0
0.14107261193584522,0.3033235258875109,1
0.05725697200218923,0.278733761496118,0
0.06459563450624756,0.4113927314619396,1
0.01923338087019065,0.24171415036183008,1
0.09292429257691587,0.22469404127714243,0
0.0550906336437853,0.2123275278105466,0
0.12473269292016934,0.3775620722600327,1
0.18781854766546252,0.10304635324391247,0
0.10879254572166489,0.483144575626227,1
0.03956615011567085,0.2964465762764932,1
0.07088102117917468,0.3128438190398213,1
0.1000278098504765,0.1270384085260284,0
0.07703800993135519,0.1212023637183807,0
0.08179691957956363,0.37455556397714374,1
0.09481488536377118,0.3559767044334491,1
0.08236472046161024,0.4651086696613633,1
0.16233864399104994,0.06054360515267365,0
0.08880599875750049,0.45216609984034456,1
0.17625673522955734,0.3043883023945707,1
0.0769351489835063,0.16750667159107582,0
0.10236892520993009,0.39749946419724985,1
0.11478743746933037,0.4209943812614652,1
0.1151606039283664,0.14253790347487222,0
0.04499449834213018,0.27649150300413994,1
0.05222901160363676,0.07927201799837102,0
0.15017900188860842,0.3168047792669101,1
0.02521822061989671,0.25850350754664986,1
0.17169509738232883,0.4595467537271257,1
0.044323826603222274,0.1540592731738183,1
0.0723695051488068,0.4871178936978554,1
0.05067999973220426,0.14508028192467715,0
0.12925706912421406,0.16410411878985232,0
0.12177306697411006,0.4189454487954468,1
0.028905161238261853,0.17891281812036097,1
0.11376943539800131,0.39141762606983627,1
0.17560750623029528,0.37822549536702305,1
0.14228637479454467,0.09437079210632265,0
0.19034683464627988,0.13440017016840805,0
0.1691097913273031,0.21946193564994232,0
0.184082193704018,0.08612948304352361,0
0.16702401822377103,0.058829777348839735,0
0.05670033860632321,0.06976796844985722,0
0.14183992152821723,0.30202050202955405,1
0.12067215591399612,0.38182745430057013,1
0.19566698989947237,0.08149092522303436,0
0.1823201624056336,0.40960310442652326,1
0.1807726253885656,0.37901494025374155,1
0.07330555869283961,0.4261426965738795,1
0.17535506875517023,0.31202194809689604,1
